"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"22","42101980702","Census Tract 9807.02, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania",3870,1087,178,0,26,0,2245,334,23931,2122,531,265,101,112,13,53,0,1269,1181,88,1181,689,492
"24","42101009500","Census Tract 95, Philadelphia County, Pennsylvania",3436,77,3359,0,0,0,0,0,29550,2240,1157,111,102,178,9,28,0,1772,1569,203,1569,626,943
"25","42101000600","Census Tract 6, Philadelphia County, Pennsylvania",1465,1048,153,0,240,0,0,24,90119,1291,73,6,0,520,279,294,83,1300,1008,292,1008,18,990
"26","42101008102","Census Tract 81.02, Philadelphia County, Pennsylvania",4636,439,3644,0,29,0,0,524,41900,3449,1165,109,271,599,109,0,0,2414,2022,392,2022,1348,674
"27","42101006200","Census Tract 62, Philadelphia County, Pennsylvania",4252,385,3669,0,198,0,0,0,38006,2930,957,172,332,455,0,26,0,1653,1544,109,1544,617,927
"28","42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania",7359,4096,190,0,2716,0,179,178,52792,4637,1615,215,495,787,228,48,0,2487,2290,197,2290,1505,785
"29","42101032100","Census Tract 321, Philadelphia County, Pennsylvania",3710,1685,893,0,35,0,539,558,43525,2477,770,200,209,207,355,0,0,1745,1637,108,1637,712,925
"30","42101026700","Census Tract 267, Philadelphia County, Pennsylvania",7697,2,7416,0,0,0,0,279,49097,4874,1502,212,506,589,106,0,39,2946,2699,247,2699,1807,892
"31","42101016200","Census Tract 162, Philadelphia County, Pennsylvania",2447,457,336,0,195,0,1240,219,33140,1589,311,39,45,333,79,26,0,892,765,127,765,397,368
"32","42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania",1682,1343,21,0,291,0,27,0,87776,1437,41,0,77,494,346,308,94,1572,1279,293,1279,302,977
"33","42101004202","Census Tract 42.02, Philadelphia County, Pennsylvania",5592,4012,151,0,921,0,371,137,64441,4211,1404,146,282,483,393,12,23,2191,2024,167,2024,1617,407
"34","42101013300","Census Tract 133, Philadelphia County, Pennsylvania",3234,1921,734,0,272,0,115,192,92222,2611,175,33,160,1007,584,355,118,2072,1752,320,1752,332,1420
"35","42101020200","Census Tract 202, Philadelphia County, Pennsylvania",4515,311,3727,3,0,0,21,453,31347,3471,1278,74,132,507,0,73,0,2372,1943,429,1943,916,1027
"36","42101014300","Census Tract 143, Philadelphia County, Pennsylvania",1970,1680,121,0,91,0,47,31,104883,1761,250,12,105,733,296,130,75,1002,933,69,933,510,423
"37","42101014700","Census Tract 147, Philadelphia County, Pennsylvania",2771,1000,1255,0,183,0,55,278,14962,697,154,30,41,166,21,0,0,1482,1208,274,1208,191,1017
"38","42101010900","Census Tract 109, Philadelphia County, Pennsylvania",2787,428,2197,12,91,0,36,23,29331,1475,481,117,112,221,100,11,35,1183,1053,130,1053,229,824
